Report generated at: 05270520

shadowrocket_basic.conf: Windows-1254
biliad.conf: UTF-8-SIG
Bodian.conf: UTF-8-SIG
boom.conf: UTF-8-SIG
bsxm.conf: UTF-8-SIG
caixin.conf: UTF-8-SIG
caiyun.conf: UTF-8-SIG
calculator.conf: UTF-8-SIG
calm.conf: UTF-8-SIG
CamScanner.conf: UTF-8-SIG
cdzs.conf: UTF-8-SIG
ceo.conf: UTF-8-SIG
chic.conf: UTF-8-SIG
clarity.conf: UTF-8-SIG
collart.conf: UTF-8-SIG
colorweather.conf: UTF-8-SIG
colorwidgets.conf: UTF-8-SIG
cp.conf: UTF-8-SIG
craft.conf: UTF-8-SIG
cubox.conf: UTF-8-SIG
cxs.conf: UTF-8-SIG
daily-yoga.conf: UTF-8-SIG
dalanjing.conf: UTF-8-SIG
darkroom.conf: UTF-8-SIG
dayone.conf: UTF-8-SIG
ddsyxj.conf: UTF-8-SIG
DisableUpdate.conf: UTF-8-SIG
doc.conf: UTF-8-SIG
documents.conf: UTF-8-SIG
drafts.conf: UTF-8-SIG
dsbj.conf: UTF-8-SIG
dsj.conf: UTF-8-SIG
duitang.conf: UTF-8-SIG
dyd.conf: UTF-8-SIG
dzqj.conf: UTF-8-SIG
efekt.conf: UTF-8-SIG
egdd.conf: UTF-8-SIG
ego.conf: UTF-8-SIG
ellabook.conf: UTF-8-SIG
Emby.conf: UTF-8-SIG
emmo.conf: UTF-8-SIG
emote.conf: UTF-8-SIG
endel.conf: UTF-8-SIG
fabulous.conf: UTF-8-SIG
faintv.conf: UTF-8-SIG
fanqienovel.conf: UTF-8-SIG
fantastical.conf: UTF-8-SIG
fileball.conf: UTF-8-SIG
fimo.conf: UTF-8-SIG
flomo.conf: UTF-8-SIG
fnv.conf: UTF-8-SIG
fomz.conf: UTF-8-SIG
ft.conf: UTF-8-SIG
fyjh.conf: UTF-8-SIG
gddt.conf: UTF-8-SIG
giftr.conf: UTF-8-SIG
gql.conf: UTF-8-SIG
grammarly.conf: UTF-8-SIG
grow.conf: UTF-8-SIG
gscdq.conf: UTF-8-SIG
gzrj.conf: UTF-8-SIG
hbetgs.conf: UTF-8-SIG
hbgc.conf: UTF-8-SIG
hbxw.conf: UTF-8-SIG
hsfs.conf: UTF-8-SIG
htjzb.conf: UTF-8-SIG
https.conf: UTF-8-SIG
hx.conf: UTF-8-SIG
hyperweb.conf: UTF-8-SIG
hyxc.conf: UTF-8-SIG
hyxj.conf: UTF-8-SIG
hyzm.conf: UTF-8-SIG
hzk.conf: UTF-8-SIG
iam.conf: UTF-8-SIG
iconkiller.conf: UTF-8-SIG
ilovepdf.conf: UTF-8-SIG
imuseum.conf: UTF-8-SIG
invideo.conf: UTF-8-SIG
iRingo_TestFlight.conf: UTF-8-SIG
iscreen.conf: UTF-8-SIG
jianxun.conf: UTF-8-SIG
jibjab.conf: UTF-8-SIG
jjyc.conf: UTF-8-SIG
jkyd.conf: UTF-8-SIG
jsgx.conf: UTF-8-SIG
jssmy.conf: UTF-8-SIG
judou.conf: UTF-8-SIG
keep.conf: UTF-8-SIG
kepai.conf: UTF-8-SIG
kika.conf: UTF-8-SIG
klx.conf: UTF-8-SIG
kprj.conf: UTF-8-SIG
kuwo-unlock.conf: UTF-8-SIG
KuwoVip.conf: UTF-8-SIG
ky.conf: UTF-8-SIG
lgzj.conf: UTF-8-SIG
lifeviewer.conf: UTF-8-SIG
lightroom.conf: UTF-8-SIG
lingokids.conf: UTF-8-SIG
ljtq.conf: UTF-8-SIG
lls.conf: UTF-8-SIG
lsdyw.conf: UTF-8-SIG
ly.conf: UTF-8-SIG
mbdt.conf: UTF-8-SIG
mdmanhua.conf: UTF-8-SIG
mdsz.conf: UTF-8-SIG
meipian.conf: UTF-8-SIG
meistertask.conf: UTF-8-SIG
meituxx.conf: UTF-8-SIG
memrise.conf: UTF-8-SIG
mht.conf: UTF-8-SIG
mix.conf: UTF-8-SIG
mklwt.conf: UTF-8-SIG
mksp.conf: UTF-8-SIG
mojo.conf: UTF-8-SIG
molycam.conf: UTF-8-SIG
mondly.conf: UTF-8-SIG
moneythings.conf: UTF-8-SIG
motivation.conf: UTF-8-SIG
mtywj.conf: UTF-8-SIG
multisearch.conf: UTF-8-SIG
musixmatch.conf: UTF-8-SIG
myfitnesspal.conf: UTF-8-SIG
myplate.conf: UTF-8-SIG
nfc.conf: UTF-8-SIG
nicegram.conf: UTF-8-SIG
NodeLinkCheck.conf: UTF-8-SIG
NoMoCam.conf: UTF-8-SIG
notability.conf: UTF-8-SIG
notboring.conf: UTF-8-SIG
now.conf: UTF-8-SIG
nt.conf: UTF-8-SIG
nybz.conf: UTF-8-SIG
oldroll.conf: UTF-8-SIG
panda.conf: UTF-8-SIG
pandora.conf: UTF-8-SIG
pdfviewer.conf: UTF-8-SIG
peak.conf: UTF-8-SIG
peiyin.conf: UTF-8-SIG
peiyinxiu.conf: UTF-8-SIG
percento.conf: UTF-8-SIG
photomath.conf: UTF-8-SIG
photoshop.conf: UTF-8-SIG
piccollage.conf: UTF-8-SIG
picsart.conf: UTF-8-SIG
pillow.conf: UTF-8-SIG
pixelance.conf: UTF-8-SIG
pixelcut.conf: UTF-8-SIG
pixiv.conf: UTF-8-SIG
planny.conf: UTF-8-SIG
